, Am I - BS,Am I - RC,Am I - AH,Am I - BT
Untreated: 5%,0.1832591680732346,0.2793766610157432,0.29690962452528435,0.24045454638573785
Untreated: 10%,0.1814490288622442,0.27852945757207376,0.29843024174164345,0.24159127182403858
Untreated: 20%,0.1792886749336582,0.2772895350550927,0.2999983748354521,0.24342341517579705
Untreated: 30%,0.17829715860153153,0.2764388182886321,0.3005789594624931,0.24468506364734333
Untreated: 40%,0.17755987941673482,0.2757289515881164,0.30126970703666056,0.24544146195848823
Untreated: 50%,0.17694440959095137,0.2751094075647653,0.3019815619916487,0.2459646208526345
Untreated: 60%,0.17575655006205204,0.27285913072735707,0.3029954989918272,0.24838882021876377
Untreated: 70%,0.17501390096471076,0.26956030325165664,0.3037276283691154,0.25169816741451717
Untreated: 80%,0.24441949403244492,0.2774977261758278,0.2701973546951946,0.20788542509653274
Untreated: 90%,0.2436577878863743,0.2770905505018014,0.2704060036758353,0.20884565793598905
Untreated: 95%,0.24575982049656772,0.2839996736992304,0.26184624596536316,0.20839425983883872
MeOH: 5%,0.2095496454159063,0.26991854345568533,0.27053221954840023,0.24999959158000823
MeOH: 10%,0.20742300828040527,0.27071133554079696,0.27135374869411555,0.2505119074846822
MeOH: 20%,0.20422200399459053,0.27193008862679985,0.2728680697077074,0.2509798376709022
MeOH: 30%,0.2025899686004075,0.27244403961940933,0.27362066040849736,0.2513453313716858
MeOH: 40%,0.2014103126409035,0.27282810729040596,0.2741975613261515,0.2515640187425389
MeOH: 50%,0.20041957964564228,0.2730922352393318,0.2747213820954831,0.25176680301954296
MeOH: 60%,0.1987462321039508,0.27339687467273655,0.2756685820328018,0.2521883111905109
MeOH: 70%,0.24661375387457765,0.25980672154231355,0.2611278754262522,0.2324516491568567
MeOH: 80%,0.253187656952708,0.26394743097611295,0.2612308913278218,0.2216340207433572
MeOH: 90%,0.2528060521519845,0.26218294042950124,0.25965369346093337,0.22535731395758088
MeOH: 95%,0.25136731623474784,0.26015401394428583,0.2579104548771441,0.23056821494382235
WA45: 5%,0.18195562321911699,0.27889455524912893,0.29966253003054444,0.23948729150120973
WA45: 10%,0.2198218266567215,0.27260370710681003,0.27777694203764025,0.2297975241988282
WA45: 20%,0.17842664400138875,0.2776213390448791,0.30145073440434295,0.24250128254938924
WA45: 30%,0.24634102970438923,0.28331815795887894,0.2626820831034616,0.20765872923327028
WA45: 40%,0.1765662432592062,0.27618163812624663,0.30236484160834853,0.24488727700619856
WA45: 50%,0.17588528501055453,0.275499051693588,0.302724137395451,0.2458915259004065
WA45: 60%,0.23487480712199277,0.2798908272389162,0.26861189548125486,0.2166224701578363
WA45: 70%,0.17504232972718756,0.2714358564290918,0.30341430561822236,0.2501075082254984
WA45: 80%,0.17567047538621683,0.2701566846855421,0.3028635216797671,0.2513093182484739
WA45: 90%,0.17811343467482,0.2679066397397395,0.3011141213791157,0.25286580420632493
WA45: 95%,0.1814283018022104,0.2662685994317178,0.2986328394098599,0.2536702593562119
